Category,category image name,Level,Filename,English,fr,nl,de,it,es,ru,ko,zh-CN,ja
animals,CategoryAnimals.png,2,bird.jpg,bird,oiseau,vogel,Vogel,uccello,pájaro,птица,새,鸟,鳥
animals,CategoryAnimals.png,2,cat.jpg,cat,chat,kat,Katze,gatto,gato,кошка ,고양이,猫,ネコ
animals,CategoryAnimals.png,2,deer.jpg,deer,cerf,hert,Reh,cervo,ciervo,олень,사슴,鹿,鹿
animals,CategoryAnimals.png,2,dog.jpg,dog,chien,hond,Hund,cane,perro,собака,개,狗,犬
animals,CategoryAnimals.png,2,duck.jpg,duck,canard,eend,Ente,anatra,pato,утка,오리,鸭,アヒル
animals,CategoryAnimals.png,2,goat.jpg,goat,chèvre,geit,Ziege,capra,cabra,козел,염소,山羊,ヤギ
animals,CategoryAnimals.png,2,horse.jpg,horse,cheval,paard,Pferd,cavallo,caballo,лошадь,말,马,うま
animals,CategoryAnimals.png,2,monkey.jpg,monkey,singe,aap,Affe,scimmia,mono,обезьяна,원숭이,猴子,サル
animals,CategoryAnimals.png,2,mouse.jpg,mouse,souris,muis,Maus,topo,ratón,мышь,쥐,老鼠,鼠
animals,CategoryAnimals.png,2,sheep.jpg,sheep,mouton,schaap,Schaf,pecora,oveja,овца,양,绵羊,羊
animals,CategoryAnimals.png,2,squirrel.jpg,squirrel,écureuil,eekhoorn,Eichhörnchen,scoiattolo,ardilla,белка,다람쥐,松鼠,リス
animals,CategoryAnimals.png,2,tiger.jpg,tiger,tigre,tijger,Tiger,tigre,tigre,тигр,호랑이,虎,虎
everyday objects,CategoryObjects.png,1,basket.jpg,basket,panier,mand,Korb,paniere,cesta,корзина,바구니,篮子,バスケット
everyday objects,CategoryObjects.png,1,bin.jpg,bin,poubelle,prullenbak,Mülleimer,cestino,bote de basura,мусорное ведро,쓰레기통,垃圾桶,ごみ箱
everyday objects,CategoryObjects.png,1,book.jpg,book,livre,boek,Buch,libro,libro,книга,책,书,本
everyday objects,CategoryObjects.png,1,bottle.jpg,bottle,bouteille,fles,Flasche,bottiglia,botella,бутылка,병,瓶子,瓶
everyday objects,CategoryObjects.png,1,bowl.jpg,bowl,bol,kom,Schüssel,ciotola,cuenco,миска, 사발,碗,ボウル
